Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,30 (Final) Cb5.9-D+1.4W,65.8,10.0,20.8,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,11.4,10.0,20.8,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,40.7,23.4,11.7,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,-13.8,23.4,11.6,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,37.4,7.8,-2.5,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,11.2,7.7,-2.5,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,12.3,21.3,-11.7,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,-13.8,21.2,-11.6,0.0,0.0,0.0
SUP 2/B,0.0000,SC 2/B (UC 152x152x30),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,153.4,0.0,-0.2,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,153.4,-0.2,-0.5,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,153.3,0.2,0.1,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,153.4,-0.4,-0.2,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,153.3,0.4,-0.2,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,117.9,11.2,-7.5,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,117.9,11.2,-7.5,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,115.1,19.3,-4.2,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,115.1,19.3,-4.2,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,115.5,-16.7,5.5,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,115.5,-16.7,5.5,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,112.7,-8.6,8.8,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,112.7,-8.6,8.8,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,116.5,7.8,1.2,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,116.5,7.8,1.2,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,113.6,15.9,4.5,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,113.6,15.9,4.5,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,113.7,3.5,3.1,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,113.7,3.5,3.1,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,110.8,11.7,6.4,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,110.8,11.7,6.4,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,45.3,13.1,-8.6,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,45.3,13.1,-8.6,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,42.0,22.6,-4.8,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,42.0,22.6,-4.8,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,42.4,-19.4,6.5,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,42.4,-19.4,6.5,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,39.1,-10.0,10.4,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,39.1,-10.0,10.4,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,43.5,9.1,1.5,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,43.5,9.1,1.5,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,40.2,18.6,5.3,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,40.2,18.6,5.3,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,40.3,4.1,3.8,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,40.3,4.1,3.8,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,37.0,13.6,7.6,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,37.0,13.6,7.6,0.0,0.0,0.0
SUP 2/C,0.0000,SC 2/C (UC 152x152x30),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,1.8,0.0,-0.1,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,1.7,0.0,-0.1,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,1.8,0.0,-0.1,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,1.8,0.0,-0.1,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,1.8,0.0,-0.1,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,-2.7,6.6,-3.0,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,-2.7,6.6,-3.0,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,-3.7,13.1,-10.2,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,-3.7,13.1,-10.2,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,-0.6,-14.9,-12.4,0.0,0.0,0.0
