Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,184.8,8.6,2.9,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,185.5,8.6,2.9,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,175.8,16.3,10.2,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,176.5,16.3,10.2,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,190.7,3.9,7.3,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,190.0,4.0,7.3,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,181.6,11.6,14.6,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,180.9,11.7,14.6,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,70.3,14.8,-19.1,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,69.4,14.8,-19.1,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,59.7,23.7,-10.6,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,58.8,23.8,-10.6,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,65.1,-19.7,14.5,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,66.5,-19.7,14.5,0.0,0.0,0.0
