Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,71 (Final) Cb2.4-1.4D+1.6I+1.6S+NHFDir2+,595.5,5.0,0.0,0.0,0.0,0.0
,,,,72 (Final) Cb2.5-1.4D+1.6I+1.6S+NHFDir2-,595.8,1.8,0.0,0.0,0.0,0.0
,,,,73 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,515.2,3.1,1.7,0.0,0.0,0.0
,,,,74 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,515.2,3.1,1.7,0.0,0.0,0.0
,,,,75 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,515.1,3.1,3.4,0.0,0.0,0.0
,,,,76 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,515.1,3.1,3.4,0.0,0.0,0.0
,,,,77 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,514.2,11.7,3.0,0.0,0.0,0.0
,,,,78 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,514.2,11.7,3.0,0.0,0.0,0.0
,,,,79 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,514.1,11.7,5.3,0.0,0.0,0.0
,,,,80 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,514.1,11.7,5.3,0.0,0.0,0.0
,,,,81 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,514.9,3.1,-5.7,0.0,0.0,0.0
,,,,82 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,514.9,3.1,-5.7,0.0,0.0,0.0
,,,,83 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,514.8,3.1,-3.5,0.0,0.0,0.0
,,,,84 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,514.8,3.1,-3.5,0.0,0.0,0.0
,,,,85 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,516.0,-1.9,1.8,0.0,0.0,0.0
,,,,86 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,516.0,-1.9,1.8,0.0,0.0,0.0
,,,,87 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,515.9,-1.9,3.2,0.0,0.0,0.0
,,,,88 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,515.9,-1.9,3.2,0.0,0.0,0.0
