Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
SUP 7/A,-89.9981,Span 1 Rh Column (UKB 457x152x82),90.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,180.9,12.6,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,179.8,11.9,0.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,182.0,13.3,0.0,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,181.3,12.9,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,180.6,12.4,0.1,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,145.6,-7.4,0.1,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,145.6,-7.4,0.1,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,145.6,-5.1,0.1,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,145.6,-5.1,0.1,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,170.6,14.2,0.0,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,170.6,14.2,0.0,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,170.6,17.3,0.0,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,170.6,17.3,0.0,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,201.8,28.8,0.0,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,201.8,28.8,0.0,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,201.8,31.6,0.0,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,201.8,31.6,0.0,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,170.6,12.9,0.0,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,170.6,12.9,0.0,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,170.6,14.7,0.0,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,170.6,14.7,0.0,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,98.0,-17.9,0.1,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,98.0,-17.9,0.1,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,98.0,-15.1,0.1,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,98.0,-15.1,0.1,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,129.3,9.0,0.0,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,129.3,9.0,0.0,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,129.3,12.9,0.0,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,129.3,12.9,0.0,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,168.2,27.2,0.0,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,168.2,27.2,0.0,0.0,0.0,0.0
