Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,85 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,691.7,-3.4,2.7,0.0,0.0,0.0
,,,,86 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,691.7,-3.4,2.7,0.0,0.0,0.0
,,,,87 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,691.6,-3.4,4.8,0.0,0.0,0.0
,,,,88 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,691.6,-3.4,4.8,0.0,0.0,0.0
,,,,89 (Final) Cb4.1-1.2D+1.2I+1.2S+1.2W,714.7,4.1,2.5,0.0,0.0,0.0
,,,,90 (Final) Cb4.2-1.2D+1.2I+1.2S+1.2W,714.7,4.1,2.5,0.0,0.0,0.0
,,,,91 (Final) Cb4.3-1.2D+1.2I+1.2S+1.2W,714.5,4.1,5.2,0.0,0.0,0.0
,,,,92 (Final) Cb4.4-1.2D+1.2I+1.2S+1.2W,714.5,4.1,5.2,0.0,0.0,0.0
,,,,93 (Final) Cb4.5-1.2D+1.2I+1.2S+1.2W,713.3,17.0,4.5,0.0,0.0,0.0
,,,,94 (Final) Cb4.6-1.2D+1.2I+1.2S+1.2W,713.3,17.0,4.5,0.0,0.0,0.0
,,,,95 (Final) Cb4.7-1.2D+1.2I+1.2S+1.2W,713.1,17.0,8.0,0.0,0.0,0.0
,,,,96 (Final) Cb4.8-1.2D+1.2I+1.2S+1.2W,713.1,17.0,8.0,0.0,0.0,0.0
,,,,97 (Final) Cb4.9-1.2D+1.2I+1.2S+1.2W,714.3,4.1,-8.5,0.0,0.0,0.0
,,,,98 (Final) Cb4.10-1.2D+1.2I+1.2S+1.2W,714.3,4.1,-8.5,0.0,0.0,0.0
,,,,99 (Final) Cb4.11-1.2D+1.2I+1.2S+1.2W,714.1,4.1,-5.2,0.0,0.0,0.0
,,,,100 (Final) Cb4.12-1.2D+1.2I+1.2S+1.2W,714.1,4.1,-5.2,0.0,0.0,0.0
,,,,101 (Final) Cb4.13-1.2D+1.2I+1.2S+1.2W,715.9,-3.4,2.7,0.0,0.0,0.0
,,,,102 (Final) Cb4.14-1.2D+1.2I+1.2S+1.2W,715.9,-3.4,2.7,0.0,0.0,0.0
,,,,103 (Final) Cb4.15-1.2D+1.2I+1.2S+1.2W,715.8,-3.3,4.8,0.0,0.0,0.0
,,,,104 (Final) Cb4.16-1.2D+1.2I+1.2S+1.2W,715.8,-3.3,4.8,0.0,0.0,0.0
,,,,105 (Final) Cb5.1-D+1.4W,274.1,2.0,2.9,0.0,0.0,0.0
,,,,106 (Final) Cb5.2-D+1.4W,274.1,2.0,2.9,0.0,0.0,0.0
,,,,107 (Final) Cb5.3-D+1.4W,273.9,2.0,6.0,0.0,0.0,0.0
,,,,108 (Final) Cb5.4-D+1.4W,273.9,2.0,6.0,0.0,0.0,0.0
,,,,109 (Final) Cb5.5-D+1.4W,272.5,17.0,5.2,0.0,0.0,0.0
,,,,110 (Final) Cb5.6-D+1.4W,272.5,17.0,5.2,0.0,0.0,0.0
,,,,111 (Final) Cb5.7-D+1.4W,272.2,17.0,9.3,0.0,0.0,0.0
,,,,112 (Final) Cb5.8-D+1.4W,272.2,17.0,9.3,0.0,0.0,0.0
,,,,113 (Final) Cb5.9-D+1.4W,273.6,1.9,-10.0,0.0,0.0,0.0
,,,,114 (Final) Cb5.10-D+1.4W,273.6,1.9,-10.0,0.0,0.0,0.0
,,,,115 (Final) Cb5.11-D+1.4W,273.4,2.0,-6.2,0.0,0.0,0.0
,,,,116 (Final) Cb5.12-D+1.4W,273.4,2.0,-6.2,0.0,0.0,0.0
,,,,117 (Final) Cb5.13-D+1.4W,275.5,-6.7,3.1,0.0,0.0,0.0
,,,,118 (Final) Cb5.14-D+1.4W,275.5,-6.7,3.1,0.0,0.0,0.0
,,,,119 (Final) Cb5.15-D+1.4W,275.3,-6.7,5.5,0.0,0.0,0.0
,,,,120 (Final) Cb5.16-D+1.4W,275.3,-6.7,5.5,0.0,0.0,0.0
A,0.0000,SC 2/B (UC 203x203x86),0.0000,59 Snow Drift 0,866.8,9.0,1.2,0.0,0.0,0.0
,,,,60 Snow Drift 90,920.5,9.7,1.3,0.0,0.0,0.0
,,,,61 Snow Drift 180,864.3,8.9,1.2,0.0,0.0,0.0
,,,,62 Snow Drift 270,858.4,8.9,1.2,0.0,0.0,0.0
,,,,63 (Final) Cb1-1.4D+1.6I+1.6RI,858.5,8.9,1.2,0.0,0.0,0.0
,,,,64 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,859.4,8.9,0.8,0.0,0.0,0.0
,,,,65 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,857.6,8.9,1.6,0.0,0.0,0.0
,,,,66 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,831.1,-23.9,1.2,0.0,0.0,0.0
,,,,67 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,885.9,41.7,1.2,0.0,0.0,0.0
,,,,68 (Final) Cb2.1-1.4D+1.6I+1.6S,890.9,9.3,1.3,0.0,0.0,0.0
,,,,69 (Final) Cb2.2-1.4D+1.6I+1.6S+NHFDir1+,891.8,9.3,0.9,0.0,0.0,0.0
,,,,70 (Final) Cb2.3-1.4D+1.6I+1.6S+NHFDir1-,890.0,9.3,1.7,0.0,0.0,0.0
,,,,71 (Final) Cb2.4-1.4D+1.6I+1.6S+NHFDir2+,862.1,-24.8,1.3,0.0,0.0,0.0
,,,,72 (Final) Cb2.5-1.4D+1.6I+1.6S+NHFDir2-,919.7,43.4,1.3,0.0,0.0,0.0
,,,,73 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,685.9,7.1,-0.1,0.0,0.0,0.0
,,,,74 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,685.9,7.1,-0.1,0.0,0.0,0.0
,,,,75 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,685.9,7.3,-0.1,0.0,0.0,0.0
,,,,76 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,685.9,7.3,-0.1,0.0,0.0,0.0
,,,,77 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,530.3,-173.5,0.9,0.0,0.0,0.0
,,,,78 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,530.3,-173.5,0.9,0.0,0.0,0.0
,,,,79 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,530.4,-173.2,0.9,0.0,0.0,0.0
,,,,80 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,530.4,-173.2,0.9,0.0,0.0,0.0
,,,,81 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,680.7,7.2,2.3,0.0,0.0,0.0
,,,,82 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,680.7,7.2,2.3,0.0,0.0,0.0
,,,,83 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,680.8,7.4,2.3,0.0,0.0,0.0
,,,,84 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,680.8,7.4,2.3,0.0,0.0,0.0
,,,,85 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,773.2,112.6,0.9,0.0,0.0,0.0
,,,,86 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,773.2,112.6,0.9,0.0,0.0,0.0
,,,,87 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,773.3,112.7,0.8,0.0,0.0,0.0
,,,,88 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,773.3,112.7,0.8,0.0,0.0,0.0
,,,,89 (Final) Cb4.1-1.2D+1.2I+1.2S+1.2W,710.2,7.4,0.0,0.0,0.0,0.0
,,,,90 (Final) Cb4.2-1.2D+1.2I+1.2S+1.2W,710.2,7.4,0.0,0.0,0.0,0.0
,,,,91 (Final) Cb4.3-1.2D+1.2I+1.2S+1.2W,710.2,7.6,-0.1,0.0,0.0,0.0
,,,,92 (Final) Cb4.4-1.2D+1.2I+1.2S+1.2W,710.2,7.6,-0.1,0.0,0.0,0.0
,,,,93 (Final) Cb4.5-1.2D+1.2I+1.2S+1.2W,554.6,-173.1,1.0,0.0,0.0,0.0
,,,,94 (Final) Cb4.6-1.2D+1.2I+1.2S+1.2W,554.6,-173.1,1.0,0.0,0.0,0.0
,,,,95 (Final) Cb4.7-1.2D+1.2I+1.2S+1.2W,554.7,-172.9,0.9,0.0,0.0,0.0
,,,,96 (Final) Cb4.8-1.2D+1.2I+1.2S+1.2W,554.7,-172.9,0.9,0.0,0.0,0.0
,,,,97 (Final) Cb4.9-1.2D+1.2I+1.2S+1.2W,705.0,7.5,2.4,0.0,0.0,0.0
,,,,98 (Final) Cb4.10-1.2D+1.2I+1.2S+1.2W,705.0,7.5,2.4,0.0,0.0,0.0
,,,,99 (Final) Cb4.11-1.2D+1.2I+1.2S+1.2W,705.1,7.7,2.3,0.0,0.0,0.0
,,,,100 (Final) Cb4.12-1.2D+1.2I+1.2S+1.2W,705.1,7.7,2.3,0.0,0.0,0.0
